contract_id,customer_id,industry,company_size,managed_service_plan,support_plan,contract_term_months,tenure_months,renewal_count,cloud_cost_30d,cost_growth_3m,budget_variance_pct,commitment_utilization_rate,usage_change_3m,idle_resource_ratio,downtime_minutes_90d,unresolved_ticket_rate,avg_resolution_hours,days_since_last_qbr,annual_contract_value,renewal_churn
CUST_00015_C3,CUST_00015,금융/보험,5-49인,Basic,Standard,12,34,2,4202907,-0.0375,3.19,0.705,0.0838,0.1853,121,0.2308,59.77,120.0,50434884,0
CUST_00016_C1,CUST_00016,IT/소프트웨어,50-299인,Premium,Enterprise,12,10,0,2723819,-0.016,7.54,0.6614,-0.0765,0.2898,29,0.0,5.59,30.0,46985878,0
CUST_00017_C1,CUST_00017,물류/운송,5-49인,Premium,Priority,24,22,0,1882413,-0.0925,6.88,0.7372,0.0054,0.2816,24,0.25,20.02,62.0,29648005,0
CUST_00017_C2,CUST_00017,물류/운송,5-49인,Premium,Enterprise,12,34,1,2181858,0.0039,4.83,0.6958,0.016,0.2279,34,0.0,6.31,31.0,37637050,0
CUST_00018_C1,CUST_00018,유통/커머스,5-49인,Standard,Enterprise,24,22,0,11048021,-0.0074,8.61,0.6593,0.0546,0.1853,52,0.0,8.42,31.0,167708959,0
CUST_00018_C2,CUST_00018,유통/커머스,5-49인,Standard,Priority,12,34,1,10298401,0.0577,7.45,0.6512,0.0051,0.2125,78,0.0,22.58,61.0,142735838,0
CUST_00018_C3,CUST_00018,유통/커머스,5-49인,Standard,Enterprise,12,46,2,10061135,-0.0535,7.58,0.6903,0.0241,0.2382,67,0.0526,5.47,31.0,152728029,0
CUST_00019_C1,CUST_00019,IT/소프트웨어,5-49인,Standard,Standard,12,10,0,4027151,0.0258,-1.47,0.7407,-0.1182,0.1928,73,0.1111,68.83,120.0,53158393,0
CUST_00020_C1,CUST_00020,유통/커머스,50-299인,Standard,Enterprise,12,10,0,11918203,0.0148,14.84,0.6425,-0.0457,0.2381,91,0.04,7.19,31.0,180918322,0
CUST_00020_C2,CUST_00020,유통/커머스,50-299인,Standard,Priority,12,23,1,11355074,0.0067,5.59,0.7715,-0.0034,0.2345,68,0.1429,25.04,62.0,157381326,0
CUST_00020_C3,CUST_00020,유통/커머스,50-299인,Standard,Priority,12,35,2,12596333,0.0131,4.18,0.6789,-0.0836,0.2154,98,0.2,16.73,62.0,174585175,0
CUST_00021_C1,CUST_00021,금융/보험,5-49인,Basic,Standard,12,10,0,3128851,0.0751,5.4,0.7006,0.0177,0.2666,134,0.0667,58.84,123.0,37546212,0
CUST_00021_C2,CUST_00021,금융/보험,5-49인,Basic,Standard,24,34,1,3355282,0.01,2.69,0.6824,0.0091,0.2758,133,0.1765,47.11,123.0,40263384,0
CUST_00021_C3,CUST_00021,금융/보험,5-49인,Basic,Enterprise,12,46,2,3165340,0.05,4.4,0.7038,0.017,0.248,130,0.0526,7.39,31.0,43681692,0
CUST_00022_C1,CUST_00022,유통/커머스,5-49인,Basic,Standard,12,10,0,1845568,0.0228,10.49,0.7116,-0.0632,0.2387,123,0.1429,38.48,,22146816,0
CUST_00022_C2,CUST_00022,유통/커머스,5-49인,Basic,Standard,12,22,1,1674440,0.0021,1.64,0.6551,0.0499,0.233,117,0.0667,42.83,123.0,20093280,0
CUST_00022_C3,CUST_00022,유통/커머스,5-49인,Basic,Standard,12,34,2,1746157,-0.0419,0.52,0.6982,-0.0111,0.2081,155,0.0,58.1,123.0,20953884,0
CUST_00023_C1,CUST_00023,IT/소프트웨어,5-49인,Standard,Priority,24,22,0,3357422,0.0256,11.15,0.7784,-0.1155,0.1866,48,0.0,27.56,182.0,46533869,0
CUST_00024_C1,CUST_00024,금융/보험,300인이상,Premium,Enterprise,24,22,0,30834421,0.0324,10.76,0.7378,-0.0736,0.2572,26,0.1538,10.21,31.0,531893762,0
CUST_00024_C2,CUST_00024,금융/보험,300인이상,Premium,Priority,24,47,1,36734036,-0.0412,1.76,0.6878,-0.0129,0.1967,29,0.1053,24.06,61.0,578561067,0
CUST_00024_C3,CUST_00024,금융/보험,300인이상,Premium,Enterprise,36,83,2,52823352,0.0371,20.33,0.791,-0.0266,0.1883,34,0.0,6.8,31.0,911202822,0
CUST_00025_C1,CUST_00025,제조업,5-49인,Basic,Priority,12,10,0,2407549,-0.0087,8.59,0.7525,-0.0561,0.1656,109,0.125,17.57,61.0,30335117,0
CUST_00025_C2,CUST_00025,제조업,5-49인,Basic,Priority,12,22,1,2308958,0.0256,-1.79,0.735,-0.1836,0.2441,133,0.2857,24.72,61.0,29092871,0
CUST_00026_C1,CUST_00026,물류/운송,5-49인,Basic,Standard,24,22,0,3968898,0.0002,6.25,0.6747,-0.0371,0.217,135,0.2632,54.81,120.0,47626776,1
CUST_00027_C1,CUST_00027,제조업,5-49인,Basic,Standard,36,34,0,2365979,0.0537,10.21,0.7322,-0.07,0.2004,111,0.0,63.21,123.0,28391748,0
CUST_00027_C2,CUST_00027,제조업,5-49인,Basic,Standard,12,46,1,2218557,0.0169,2.36,0.7985,-0.0277,0.2047,115,0.2857,42.25,123.0,26622684,0
CUST_00027_C3,CUST_00027,제조업,5-49인,Basic,Priority,24,70,2,2137979,-0.0205,7.12,0.7605,-0.015,0.2216,83,0.0,19.23,61.0,26938535,0
CUST_00028_C1,CUST_00028,의료/헬스케어,5-49인,Basic,Standard,12,10,0,3262220,0.1112,14.63,0.7535,-0.0437,0.2525,120,0.0,68.19,122.0,39146640,0
CUST_00029_C1,CUST_00029,의료/헬스케어,5-49인,Basic,Priority,12,10,0,2329371,0.0228,3.81,0.7583,0.0393,0.2451,101,0.0,17.56,61.0,29350075,0
CUST_00029_C2,CUST_00029,의료/헬스케어,5-49인,Basic,Standard,24,34,1,2507212,-0.0102,6.78,0.7043,-0.1277,0.1684,85,0.0,65.31,123.0,30086544,0
CUST_00030_C1,CUST_00030,의료/헬스케어,5-49인,Basic,Standard,24,22,0,2841551,0.0057,13.58,0.5813,-0.0647,0.2665,186,0.2258,65.25,120.0,34098612,1
CUST_00031_C1,CUST_00031,의료/헬스케어,5-49인,Basic,Standard,12,10,0,3619013,-0.0399,-1.64,0.7222,-0.0884,0.2166,122,0.3636,61.73,122.0,43428156,0
CUST_00031_C2,CUST_00031,의료/헬스케어,5-49인,Basic,Priority,24,34,1,4501408,-0.0328,8.77,0.7456,-0.0911,0.2359,115,0.0,23.81,61.0,56717741,0
CUST_00032_C1,CUST_00032,IT/소프트웨어,5-49인,Standard,Enterprise,24,22,0,2228598,-0.0005,3.81,0.6873,0.0402,0.1747,84,0.1,6.68,31.0,33830118,0
CUST_00032_C2,CUST_00032,IT/소프트웨어,5-49인,Standard,Priority,12,34,1,2452085,0.0381,3.39,0.7253,-0.0583,0.2767,78,0.1875,20.48,62.0,33985898,0
CUST_00032_C3,CUST_00032,IT/소프트웨어,5-49인,Standard,Priority,12,46,2,2534311,0.0274,0.31,0.7624,0.0194,0.2406,67,0.0,18.47,62.0,35125550,0
CUST_00033_C1,CUST_00033,교육,5-49인,Basic,Standard,12,10,0,3678439,0.0237,14.76,0.7344,-0.0379,0.2222,141,0.2778,74.89,,44141268,0
CUST_00033_C2,CUST_00033,교육,5-49인,Basic,Standard,24,34,1,3984009,-0.0056,7.42,0.6708,-0.0373,0.2081,144,0.1667,79.53,122.0,47808108,0
CUST_00034_C1,CUST_00034,유통/커머스,5-49인,Basic,Standard,24,22,0,6690364,-0.0296,12.96,0.6503,-0.0045,0.2203,139,0.1667,51.77,122.0,80284368,0
CUST_00035_C1,CUST_00035,IT/소프트웨어,5-49인,Basic,Priority,12,10,0,6817609,0.0423,-0.81,0.7466,0.0472,0.2447,123,0.0,20.71,62.0,85901873,0
CUST_00036_C1,CUST_00036,제조업,5-49인,Basic,Standard,12,10,0,6159723,0.0134,15.24,0.6184,-0.0528,0.2939,199,0.2059,60.81,120.0,73916676,1
CUST_00037_C1,CUST_00037,IT/소프트웨어,5-49인,Basic,Standard,12,10,0,2049565,0.0493,10.42,0.7128,-0.0246,0.2221,137,0.1905,77.63,,24594780,0
CUST_00037_C2,CUST_00037,IT/소프트웨어,5-49인,Basic,Standard,12,22,1,1956001,0.0662,8.62,0.6331,0.0636,0.2377,121,0.0588,55.52,123.0,23472012,0
CUST_00038_C1,CUST_00038,IT/소프트웨어,5-49인,Basic,Standard,12,10,0,660570,-0.0042,8.09,0.6643,-0.038,0.3052,140,0.0,55.14,123.0,7926840,1
CUST_00039_C1,CUST_00039,금융/보험,5-49인,Basic,Standard,24,22,0,1618334,0.0302,5.81,0.746,-0.0912,0.1451,75,0.1429,102.27,121.0,19420008,0
CUST_00039_C2,CUST_00039,금융/보험,5-49인,Basic,Standard,36,58,1,1844202,0.0353,12.03,0.8531,-0.0579,0.1804,67,0.0769,72.03,121.0,22130424,0
CUST_00039_C3,CUST_00039,금융/보험,5-49인,Basic,Priority,36,94,2,1736949,-0.0054,15.55,0.6878,-0.0263,0.2562,119,0.3,30.97,60.0,21885557,0
CUST_00040_C1,CUST_00040,제조업,5-49인,Basic,Standard,12,10,0,2239875,0.0489,7.0,0.6176,0.0764,0.2931,173,0.4091,61.5,122.0,26878500,1
CUST_00041_C1,CUST_00041,유통/커머스,5-49인,Basic,Standard,36,34,0,699620,0.0128,23.49,0.644,-0.1156,0.2356,179,0.25,51.51,122.0,8395440,0
CUST_00041_C2,CUST_00041,유통/커머스,5-49인,Basic,Standard,24,58,1,752370,0.0148,12.91,0.6611,0.0985,0.2729,115,0.2,42.79,122.0,9028440,0
CUST_00041_C3,CUST_00041,유통/커머스,5-49인,Basic,Standard,12,70,2,1624433,-0.0011,6.18,0.7004,-0.0283,0.2918,124,0.2,58.65,122.0,19493196,0
CUST_00042_C1,CUST_00042,유통/커머스,5-49인,Basic,Standard,36,34,0,9659544,-0.0467,2.18,0.8412,0.0673,0.1058,77,0.1111,50.99,122.0,115914528,0
CUST_00042_C2,CUST_00042,유통/커머스,5-49인,Premium,Enterprise,36,70,1,13453482,0.0306,9.33,0.7922,0.094,0.1561,14,0.0,7.18,31.0,232072564,0
CUST_00043_C1,CUST_00043,의료/헬스케어,5-49인,Standard,Priority,12,10,0,1589729,0.0005,1.7,0.7154,-0.0663,0.1845,69,0.1579,22.03,59.0,22033644,0
CUST_00043_C2,CUST_00043,의료/헬스케어,5-49인,Standard,Standard,36,46,1,1432758,0.08,12.94,0.7016,0.0582,0.1778,52,0.1765,51.99,120.0,18912406,0
CUST_00044_C1,CUST_00044,유통/커머스,50-299인,Standard,Standard,12,10,0,13749667,-0.0075,4.43,0.6768,-0.1086,0.2277,84,0.1364,47.04,,181495604,1
CUST_00045_C1,CUST_00045,기타서비스업,5-49인,Basic,Priority,12,10,0,4414720,0.0507,8.37,0.7371,0.0036,0.2097,129,0.0667,27.05,,55625472,0
CUST_00046_C1,CUST_00046,유통/커머스,5-49인,Basic,Standard,12,10,0,1025913,-0.0224,-1.24,0.7106,0.1401,0.2541,117,0.1538,57.64,,12310956,0
CUST_00046_C2,CUST_00046,유통/커머스,5-49인,Basic,Standard,24,34,1,1185738,-0.0287,3.87,0.7369,0.1495,0.2509,113,0.1538,92.22,121.0,14228856,0
CUST_00047_C1,CUST_00047,제조업,5-49인,Basic,Standard,12,10,0,2168105,-0.0079,1.51,0.679,-0.009,0.2481,132,0.1333,59.51,120.0,26017260,1
CUST_00048_C1,CUST_00048,IT/소프트웨어,5-49인,Standard,Enterprise,24,22,0,2324856,0.0008,-6.37,0.8375,-0.0914,0.1164,45,0.0,6.14,31.0,35291314,0
CUST_00049_C1,CUST_00049,금융/보험,50-299인,Standard,Enterprise,24,22,0,9170619,0.0001,8.72,0.7296,0.1666,0.173,45,0.0,6.35,31.0,139209996,0
CUST_00049_C2,CUST_00049,금융/보험,50-299인,Standard,Enterprise,36,58,1,8467484,0.0829,8.74,0.7917,-0.1095,0.16,60,0.0588,7.53,31.0,128536407,0
CUST_00049_C3,CUST_00049,금융/보험,50-299인,Standard,Standard,24,82,2,7716959,0.0153,8.96,0.7212,0.0794,0.2703,57,0.2353,51.93,120.0,101863859,0
CUST_00050_C1,CUST_00050,유통/커머스,5-49인,Basic,Priority,24,22,0,2247162,-0.0125,14.21,0.6582,-0.0585,0.223,137,0.2353,21.61,61.0,28314241,0
CUST_00050_C2,CUST_00050,유통/커머스,5-49인,Basic,Priority,12,34,1,2285991,0.0127,1.51,0.7536,-0.0287,0.1436,108,0.1333,17.02,61.0,28803487,0
CUST_00051_C1,CUST_00051,물류/운송,5-49인,Basic,Standard,12,10,0,2133506,0.0455,6.82,0.6795,-0.1519,0.2201,139,0.3571,57.17,123.0,25602072,0
CUST_00052_C1,CUST_00052,교육,5-49인,Basic,Priority,24,22,0,3208695,-0.0594,-2.01,0.7888,0.1715,0.1839,91,0.0,20.79,184.0,40429557,0
CUST_00053_C1,CUST_00053,의료/헬스케어,5-49인,Standard,Standard,24,22,0,2284299,-0.0264,15.48,0.6923,-0.0907,0.2113,61,0.0588,57.59,121.0,30152747,0
CUST_00054_C1,CUST_00054,물류/운송,5-49인,Basic,Priority,24,22,0,3425683,-0.0301,14.05,0.7378,0.0843,0.3173,195,0.0714,17.76,184.0,43163606,0
CUST_00055_C1,CUST_00055,제조업,300인이상,Standard,Enterprise,24,22,0,46157596,-0.0024,12.91,0.7152,-0.0351,0.2106,70,0.0,4.95,30.0,700672307,0
CUST_00055_C2,CUST_00055,제조업,300인이상,Standard,Priority,12,34,1,33649908,-0.0201,1.57,0.7128,0.015,0.1859,58,0.0,20.0,61.0,466387725,0
CUST_00055_C3,CUST_00055,제조업,300인이상,Standard,Enterprise,24,58,2,43710846,-0.0105,24.39,0.6298,-0.0318,0.3157,79,0.04,6.79,30.0,663530642,0
CUST_00056_C1,CUST_00056,의료/헬스케어,5-49인,Basic,Priority,12,10,0,3126349,0.0064,6.16,0.6724,-0.048,0.3315,218,0.1579,25.96,59.0,39391997,0
CUST_00057_C1,CUST_00057,유통/커머스,5-49인,Basic,Standard,12,10,0,2443945,0.0001,9.42,0.7041,0.0144,0.2624,172,0.1429,60.07,122.0,29327340,1
CUST_00058_C1,CUST_00058,의료/헬스케어,5-49인,Basic,Standard,12,10,0,1367465,-0.0234,-5.41,0.8706,-0.0571,0.1359,98,0.0,68.72,122.0,16409580,0
CUST_00059_C1,CUST_00059,물류/운송,5-49인,Basic,Priority,12,10,0,3462740,0.0561,9.0,0.763,0.0382,0.183,108,0.0714,25.25,61.0,43630524,0
CUST_00059_C2,CUST_00059,물류/운송,5-49인,Basic,Standard,12,22,1,3585539,0.043,8.23,0.7182,-0.0295,0.1617,122,0.1667,59.4,122.0,43026468,0
CUST_00059_C3,CUST_00059,물류/운송,5-49인,Basic,Standard,36,58,2,4315769,-0.062,12.7,0.7276,-0.0607,0.1905,117,0.3125,53.73,122.0,51789228,0
CUST_00060_C1,CUST_00060,제조업,5-49인,Premium,Enterprise,36,34,0,8478503,-0.0037,10.92,0.7254,-0.0569,0.1563,25,0.0,5.61,31.0,146254177,0
CUST_00060_C2,CUST_00060,제조업,5-49인,Premium,Enterprise,24,58,1,8201735,0.0308,5.74,0.7931,0.0023,0.2204,32,0.0714,8.15,31.0,141479929,0
CUST_00061_C1,CUST_00061,제조업,5-49인,Basic,Standard,12,10,0,1399264,0.0416,7.84,0.7342,-0.0534,0.1539,107,0.4167,42.67,123.0,16791168,1
CUST_00062_C1,CUST_00062,제조업,5-49인,Basic,Standard,12,10,0,1977564,0.0537,5.46,0.7487,-0.0759,0.2583,138,0.1538,52.33,122.0,23730768,0
CUST_00063_C1,CUST_00063,IT/소프트웨어,5-49인,Standard,Enterprise,12,10,0,2446468,0.0099,8.11,0.69,-0.0475,0.2233,84,0.0,5.94,122.0,37137384,0
CUST_00064_C1,CUST_00064,유통/커머스,5-49인,Standard,Priority,24,22,0,2607582,0.0509,23.33,0.698,0.0947,0.3253,68,0.1364,17.63,61.0,36141087,0
CUST_00064_C2,CUST_00064,유통/커머스,5-49인,Standard,Enterprise,12,34,1,1855418,0.0286,3.31,0.7364,-0.0491,0.2639,70,0.05,6.24,31.0,28165245,0
CUST_00065_C1,CUST_00065,IT/소프트웨어,5-49인,Basic,Priority,12,10,0,2857673,0.0424,13.11,0.6549,0.0168,0.2472,136,0.1176,27.49,59.0,36006680,1
CUST_00066_C1,CUST_00066,금융/보험,5-49인,Standard,Standard,12,10,0,4298231,0.0457,13.33,0.657,-0.0904,0.248,87,0.0,64.55,,56736649,1
CUST_00067_C1,CUST_00067,금융/보험,5-49인,Standard,Priority,24,22,0,1520400,0.0027,-1.3,0.7086,0.0551,0.1757,70,0.1667,18.82,305.0,21072744,0
CUST_00068_C1,CUST_00068,유통/커머스,300인이상,Standard,Standard,12,10,0,28433025,0.0543,5.47,0.7753,-0.0152,0.1678,58,0.0833,50.15,122.0,375315930,0
CUST_00069_C1,CUST_00069,교육,5-49인,Standard,Priority,36,34,0,4993160,-0.0067,12.01,0.6408,0.1267,0.2146,68,0.2,22.84,61.0,69205198,0
CUST_00069_C2,CUST_00069,교육,5-49인,Standard,Enterprise,12,46,1,5512031,0.0285,4.5,0.6686,0.0544,0.2827,98,0.0,7.03,31.0,83672631,0
CUST_00070_C1,CUST_00070,금융/보험,5-49인,Basic,Standard,12,10,0,976817,0.0472,6.67,0.7672,-0.1179,0.2315,136,0.25,52.79,120.0,11721804,0
CUST_00070_C2,CUST_00070,금융/보험,5-49인,Basic,Standard,12,22,1,1040618,0.0866,12.15,0.6706,0.0662,0.2515,143,0.1905,52.9,305.0,12487416,0
CUST_00070_C3,CUST_00070,금융/보험,5-49인,Basic,Priority,24,46,2,1152833,0.0924,17.85,0.6848,0.0128,0.2334,159,0.2143,16.51,61.0,14525696,0
CUST_00071_C1,CUST_00071,물류/운송,5-49인,Basic,Standard,12,10,0,4846732,0.0246,1.63,0.7802,0.1165,0.2286,103,0.0,59.02,123.0,58160784,0
CUST_00071_C2,CUST_00071,물류/운송,5-49인,Basic,Standard,12,22,1,5364640,0.0757,2.41,0.7451,-0.0173,0.2546,92,0.0,69.26,123.0,64375680,0
CUST_00071_C3,CUST_00071,물류/운송,5-49인,Basic,Standard,12,34,2,4819324,0.0219,9.02,0.6837,-0.0706,0.1454,125,0.2,46.51,305.0,57831888,1
CUST_00072_C1,CUST_00072,금융/보험,5-49인,Premium,Enterprise,12,10,0,17716405,0.0173,9.23,0.7276,0.0529,0.1906,23,0.0,6.79,120.0,305607986,0
CUST_00072_C2,CUST_00072,금융/보험,5-49인,Premium,Standard,12,22,1,21877539,0.0151,6.35,0.7279,0.0568,0.2183,32,0.0556,53.62,120.0,328163085,0
CUST_00072_C3,CUST_00072,금융/보험,5-49인,Premium,Priority,36,58,2,27321009,0.0771,22.38,0.6675,0.0187,0.2161,35,0.0714,22.7,182.0,430305892,0
CUST_00073_C1,CUST_00073,금융/보험,5-49인,Basic,Standard,12,10,0,5978081,0.0515,10.71,0.7096,-0.1121,0.2534,146,0.15,55.82,122.0,71736972,1
CUST_00074_C1,CUST_00074,유통/커머스,5-49인,Basic,Standard,24,22,0,3947243,0.0673,11.41,0.6453,-0.0444,0.2843,180,0.0769,49.75,122.0,47366916,0
CUST_00074_C2,CUST_00074,유통/커머스,5-49인,Basic,Standard,12,34,1,4284588,0.0193,-0.14,0.7512,-0.0761,0.253,155,0.3636,70.26,122.0,51415056,0
CUST_00075_C1,CUST_00075,물류/운송,5-49인,Basic,Standard,24,22,0,853671,0.0422,18.48,0.6106,0.1309,0.2146,163,0.2727,70.78,123.0,10244052,1
CUST_00076_C1,CUST_00076,IT/소프트웨어,5-49인,Basic,Standard,24,22,0,2627808,0.0434,21.59,0.6636,-0.0339,0.309,191,0.0,60.03,122.0,31533696,1
CUST_00077_C1,CUST_00077,제조업,50-299인,Premium,Enterprise,24,22,0,27577875,0.0508,5.37,0.7506,0.0373,0.2254,26,0.0,5.81,30.0,475718344,0
CUST_00078_C1,CUST_00078,IT/소프트웨어,5-49인,Basic,Standard,12,10,0,3349814,0.0784,7.97,0.7481,-0.0606,0.2725,129,0.1,50.92,122.0,40197768,1
CUST_00079_C1,CUST_00079,제조업,5-49인,Premium,Enterprise,12,10,0,7449659,-0.0072,-3.19,0.7744,-0.0069,0.1965,26,0.1,6.71,31.0,128506618,0
CUST_00080_C1,CUST_00080,유통/커머스,5-49인,Standard,Enterprise,12,10,0,3512717,0.0138,14.13,0.6397,0.1035,0.2518,94,0.0714,6.77,31.0,53323044,1
CUST_00081_C1,CUST_00081,물류/운송,5-49인,Basic,Standard,24,22,0,1659276,-0.0054,10.92,0.6467,0.0809,0.2448,110,0.0667,43.43,123.0,19911312,0
CUST_00082_C1,CUST_00082,금융/보험,5-49인,Standard,Priority,24,22,0,1556724,0.0539,23.22,0.6022,-0.1051,0.2711,85,0.2,20.01,62.0,21576195,0
CUST_00082_C2,CUST_00082,금융/보험,5-49인,Standard,Standard,12,34,1,1404674,0.0024,3.68,0.6179,0.0597,0.2094,79,0.1429,57.4,123.0,18541697,0
CUST_00083_C1,CUST_00083,IT/소프트웨어,5-49인,Basic,Priority,12,10,0,1930493,0.1039,15.27,0.6944,0.0442,0.1894,125,0.0556,26.25,62.0,24324212,1
CUST_00084_C1,CUST_00084,의료/헬스케어,50-299인,Standard,Priority,24,22,0,37067460,0.0043,8.12,0.651,-0.0556,0.1872,64,0.0,18.51,62.0,513754996,0
CUST_00084_C2,CUST_00084,의료/헬스케어,50-299인,Standard,Priority,12,34,1,42267933,0.0088,5.03,0.7757,-0.0335,0.1817,52,0.1111,24.84,62.0,585833551,1
CUST_00085_C1,CUST_00085,IT/소프트웨어,5-49인,Basic,Standard,24,22,0,8155261,0.0217,14.85,0.7706,-0.044,0.2233,134,0.2,67.02,304.0,97863132,0
CUST_00085_C2,CUST_00085,IT/소프트웨어,5-49인,Basic,Priority,24,46,1,8588935,0.0862,3.14,0.7601,-0.0295,0.2072,91,0.0,32.44,182.0,108220581,0
CUST_00086_C1,CUST_00086,금융/보험,5-49인,Basic,Standard,12,10,0,1017420,-0.0339,-3.96,0.8794,-0.004,0.1756,80,0.1176,69.06,120.0,12209040,1
